id,createdAt,channel,status,customerName,customerPhone,subtotalCents,totalCents,itemsCount
87523546-7ee4-41b2-b83f-4ffb93cf78f3,2026-06-15T22:57:00.000Z,BALCAO,ENTREGUE,Padaria do Bairro,11990140223,1807,1807,1
9301b330-29ab-4518-b4ea-02b249fa7288,2026-06-15T18:02:00.000Z,APP,ENTREGUE,João Santos,11912398277,1496,1496,1
b58379e5-9b80-448a-9d33-32c2c839c50d,2026-06-14T18:48:00.000Z,APP,ENTREGUE,Restaurante Sabor & Arte,11991946625,1986,1986,1
4d8464d1-650f-48e7-aa63-1327815353e1,2026-06-14T14:23:00.000Z,WHATSAPP,ENTREGUE,Padaria do Bairro,11993890115,11920,11920,1
01b492d0-fbd6-4217-a822-b1bac67e4b9e,2026-06-14T13:11:00.000Z,APP,ENTREGUE,Lanchonete Express,11999534203,6520,6520,1
d8055f02-e7ab-4c96-8e36-577c03112a2a,2026-06-13T22:19:00.000Z,APP,ENTREGUE,Café da Esquina,11950151502,5395,5395,1
4fd58a76-dedd-4c71-9a74-3f5f097deb72,2026-06-13T18:32:00.000Z,APP,ENTREGUE,João Santos,11959729090,22090,22090,1
9688a044-a8a3-4cf0-a5ea-ea1a8c930be6,2026-06-13T18:03:00.000Z,WHATSAPP,ENTREGUE,Padaria do Bairro,11911734513,25360,25360,1
21bbd149-0305-465b-8765-0a9aa0e76972,2026-06-13T17:33:00.000Z,IFOOD,ENTREGUE,Café da Esquina,11940614932,4045,4045,1
e599fb1a-0666-4150-ba1a-1f9c18f0c2cb,2026-06-12T15:45:00.000Z,IFOOD,ENTREGUE,Restaurante Sabor & Arte,11989793076,2338,2338,1
5006ba18-58b3-4cf1-bc17-42c136bd3061,2026-06-12T14:39:00.000Z,IFOOD,ENTREGUE,João Santos,11935903369,517,517,1
42d8f926-7d65-4a9b-95b2-191df9735cff,2026-06-12T14:31:00.000Z,WHATSAPP,ENTREGUE,Mercado Boa Vista,11999995423,1137,1137,1
75b435b7-09d3-42d8-855d-80d148001e3e,2026-06-12T12:13:00.000Z,APP,ENTREGUE,Café da Esquina,11974969190,6330,6330,1
a8b1aa54-8966-48c3-9fc4-60d9831caee0,2026-05-19T04:56:43.438Z,WHATSAPP,ENTREGUE,Bar do Zé Ltda,11999887766,5000,5000,1
